project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
BankAccountv2,java,95,8,featurehouse,Extended boolean,0.8833333333333334,0.590625,0.7079151943462897,0.01246500015258789
BankAccountv2,java,95,8,featurehouse,Classic vector model,0.9083333333333333,0.5882211538461538,0.7140413342613909,0.006538867950439453
BankAccountv2,java,95,8,featurehouse,BM25,0.9083333333333333,0.5861607142857143,0.7125211590162301,0.00417017936706543
BankAccountv2,java,95,8,featurehouse,Neural networks,0.9083333333333333,0.5861607142857143,0.7125211590162301,0.013103008270263672
BankAccountv2,java,95,8,featurehouse,Latent semantic indexing,0.9083333333333333,0.2837434216110687,0.43241109583653947,0.032330989837646484
MinePump_C,c,279,6,featurehouse,Extended boolean,1.0,0.7333333333333333,0.846153846153846,0.0048370361328125
MinePump_C,c,279,6,featurehouse,Classic vector model,1.0,0.7333333333333333,0.846153846153846,0.001974821090698242
MinePump_C,c,279,6,featurehouse,BM25,1.0,0.7333333333333333,0.846153846153846,0.0017740726470947266
MinePump_C,c,279,6,featurehouse,Neural networks,1.0,0.7333333333333333,0.846153846153846,0.004385948181152344
MinePump_C,c,279,6,featurehouse,Latent semantic indexing,1.0,0.28190476190476194,0.43982169390787523,0.017894983291625977
NetBot,cs,1579,4,featurehouse,Extended boolean,1.0,0.7083333333333333,0.8292682926829268,0.031200170516967773
NetBot,cs,1579,4,featurehouse,Classic vector model,1.0,0.5083333333333333,0.6740331491712707,0.01603984832763672
NetBot,cs,1579,4,featurehouse,BM25,1.0,0.7083333333333333,0.8292682926829268,0.013957023620605469
NetBot,cs,1579,4,featurehouse,Neural networks,0.95,0.7083333333333333,0.8115577889447236,0.028849124908447266
NetBot,cs,1579,4,featurehouse,Latent semantic indexing,1.0,0.4425770308123249,0.6135922330097087,0.1716480255126953
Mobile_RSS_Reader,java,20000,27,cide,Extended boolean,0.7800617283950617,0.4616080218929118,0.5799976222587339,2.9884018898010254
Mobile_RSS_Reader,java,20000,27,cide,Classic vector model,0.7405170940170941,0.45230803457920155,0.5615941906947077,1.5413708686828613
Mobile_RSS_Reader,java,20000,27,cide,BM25,0.7635940170940171,0.46412496265872616,0.577335775556003,1.4375591278076172
Mobile_RSS_Reader,java,20000,27,cide,Neural networks,0.7454835807467387,0.4899444417932848,0.5912858218709984,2.923509120941162
Mobile_RSS_Reader,java,20000,27,cide,Latent semantic indexing,0.979585798816568,0.13025389768073672,0.22993387029000698,75.75915694236755
EmailSystem_C,c,258,8,featurehouse,Extended boolean,0.9583333333333333,0.47008928571428565,0.6307688300864673,0.04164004325866699
EmailSystem_C,c,258,8,featurehouse,Classic vector model,0.9583333333333333,0.47008928571428565,0.6307688300864673,0.014685869216918945
EmailSystem_C,c,258,8,featurehouse,BM25,0.9583333333333333,0.47008928571428565,0.6307688300864673,0.01666712760925293
EmailSystem_C,c,258,8,featurehouse,Neural networks,0.9270833333333333,0.4656021062271062,0.6198843477307908,0.04310011863708496
EmailSystem_C,c,258,8,featurehouse,Latent semantic indexing,0.9583333333333333,0.17407956591980506,0.29463855592456356,0.12798213958740234
Mobile_Media,java,5700,23,cide,Extended boolean,0.7444023569023568,0.2955910236611991,0.42315395233254555,0.863624095916748
Mobile_Media,java,5700,23,cide,Classic vector model,0.8140749601275916,0.27143016461888775,0.407118299862754,0.3996109962463379
Mobile_Media,java,5700,23,cide,BM25,0.8188596491228068,0.27209899211284255,0.40846806979929134,0.40023112297058105
Mobile_Media,java,5700,23,cide,Neural networks,0.7793859649122805,0.26477293968230087,0.39526610780966376,0.8040790557861328
Mobile_Media,java,5700,23,cide,Latent semantic indexing,0.9792960662525879,0.09888054311714577,0.17962423978043043,9.928592920303345
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Extended boolean,0,0,0,0.020407915115356445
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Classic vector model,0.5909090909090909,1.0,0.7428571428571429,0.0033168792724609375
Arithmetic_Expression_Evaluator,haskell,460,16,cide,BM25,0,0,0,0.00333404541015625
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Neural networks,0,0,0,0.013180017471313477
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Latent semantic indexing,1.0,0.9375,0.967741935483871,0.11313891410827637
BattleOfTanks,java,1975,132,antenna,Extended boolean,0.9923076923076923,0.9737179487179487,0.9829249329086303,0.27165818214416504
BattleOfTanks,java,1975,132,antenna,Classic vector model,0.9923664122137404,0.967239185750636,0.979641700873879,0.10419201850891113
BattleOfTanks,java,1975,132,antenna,BM25,0.9770992366412213,0.9643765903307888,0.9706962272267966,0.09541797637939453
BattleOfTanks,java,1975,132,antenna,Neural networks,0.9923664122137404,0.967239185750636,0.979641700873879,0.21569299697875977
BattleOfTanks,java,1975,132,antenna,Latent semantic indexing,0.9924242424242424,0.3100198412698414,0.47245207676949547,2.385923147201538
Graph_Product_Line,java,1350,26,featurehouse,Extended boolean,0.47348484848484856,0.22360855769946675,0.3037620586365252,0.24443602561950684
Graph_Product_Line,java,1350,26,featurehouse,Classic vector model,0.6856060606060607,0.19982964944611623,0.30946214884639883,0.1160120964050293
Graph_Product_Line,java,1350,26,featurehouse,BM25,0.6553030303030304,0.20345886842922417,0.3105103130926516,0.11045193672180176
Graph_Product_Line,java,1350,26,featurehouse,Neural networks,0.6553030303030304,0.2080188034733489,0.3157926672138468,0.27738499641418457
Graph_Product_Line,java,1350,26,featurehouse,Latent semantic indexing,0.6442307692307693,0.032255991871376496,0.061435947162491795,1.5220310688018799
Elevator_C,c,877,5,featurehouse,Extended boolean,0.875,0.49999999999999994,0.6363636363636362,0.007922172546386719
Elevator_C,c,877,5,featurehouse,Classic vector model,0.875,0.49999999999999994,0.6363636363636362,0.003535032272338867
Elevator_C,c,877,5,featurehouse,BM25,0.875,0.49999999999999994,0.6363636363636362,0.004498004913330078
Elevator_C,c,877,5,featurehouse,Neural networks,0.875,0.49999999999999994,0.6363636363636362,0.007153987884521484
Elevator_C,c,877,5,featurehouse,Latent semantic indexing,1.0,0.24199134199134198,0.38968281631230395,0.038333892822265625
Pynche,python,2400,12,cide,Extended boolean,1.0,0.46428571428571436,0.6341463414634146,0.10342812538146973
Pynche,python,2400,12,cide,Classic vector model,1.0,0.37100168350168344,0.5412125863392172,0.038645029067993164
Pynche,python,2400,12,cide,BM25,0.818181818181818,0.5681818181818182,0.6706408345752608,0.03813982009887695
Pynche,python,2400,12,cide,Neural networks,1.0,0.3964646464646464,0.5678119349005425,0.07586908340454102
Pynche,python,2400,12,cide,Latent semantic indexing,1.0,0.16022727272727275,0.27619980411361417,1.551961898803711
MinePump_Java,java,580,6,featurehouse,Extended boolean,0.75,0.23769841269841266,0.3609883487344315,0.009572029113769531
MinePump_Java,java,580,6,featurehouse,Classic vector model,0.75,0.23769841269841266,0.3609883487344315,0.004217863082885742
MinePump_Java,java,580,6,featurehouse,BM25,0.75,0.23769841269841266,0.3609883487344315,0.0038678646087646484
MinePump_Java,java,580,6,featurehouse,Neural networks,0.75,0.23769841269841266,0.3609883487344315,0.00923609733581543
MinePump_Java,java,580,6,featurehouse,Latent semantic indexing,0.8333333333333334,0.10571541748012336,0.1876285574249948,0.0440211296081543
Email_JML,java,1233,8,featurehouse,Extended boolean,0.875,0.3222222222222222,0.4709976798143852,0.02396702766418457
Email_JML,java,1233,8,featurehouse,Classic vector model,0.875,0.3222222222222222,0.4709976798143852,0.005414009094238281
Email_JML,java,1233,8,featurehouse,BM25,0.875,0.3222222222222222,0.4709976798143852,0.008493900299072266
Email_JML,java,1233,8,featurehouse,Neural networks,0.75,0.3083333333333333,0.4370078740157479,0.01959514617919922
Email_JML,java,1233,8,featurehouse,Latent semantic indexing,0.875,0.11744505494505494,0.2070934256055363,0.08019900321960449
Chat_HyperJ,java,758,3,hyperj,Extended boolean,1.0,0.2845410628019323,0.4430236931177134,0.018716812133789062
Chat_HyperJ,java,758,3,hyperj,Classic vector model,1.0,0.2845410628019323,0.4430236931177134,0.009657144546508789
Chat_HyperJ,java,758,3,hyperj,BM25,1.0,0.2845410628019323,0.4430236931177134,0.008127927780151367
Chat_HyperJ,java,758,3,hyperj,Neural networks,1.0,0.2845410628019323,0.4430236931177134,0.018906116485595703
Chat_HyperJ,java,758,3,hyperj,Latent semantic indexing,1.0,0.06753812636165578,0.12653061224489798,0.0913841724395752
Lampiro,java,45000,17,cide,Extended boolean,0.8888888888888888,0.24601257572272064,0.3853688657661563,6.473669052124023
Lampiro,java,45000,17,cide,Classic vector model,0.9230769230769231,0.1829588487197183,0.3053881175136991,3.8798420429229736
Lampiro,java,45000,17,cide,BM25,0.9230769230769231,0.18373214949301905,0.30646461332400743,3.098525047302246
Lampiro,java,45000,17,cide,Neural networks,0.8461538461538461,0.17961436711436712,0.29632695884400784,6.244545936584473
Lampiro,java,45000,17,cide,Latent semantic indexing,0.9852941176470589,0.03246848919775977,0.06286536997977474,208.08482909202576
Prop4J,java,2051,14,featurehouse,Extended boolean,1.0,0.27182539682539686,0.4274570982839314,0.04513096809387207
Prop4J,java,2051,14,featurehouse,Classic vector model,0.9090909090909091,0.21828049401578814,0.35203449758401406,0.019207000732421875
Prop4J,java,2051,14,featurehouse,BM25,0.9090909090909091,0.22517482517482518,0.36094608227777153,0.01864004135131836
Prop4J,java,2051,14,featurehouse,Neural networks,0.9090909090909091,0.21865928189457604,0.35252694603403345,0.04513096809387207
Prop4J,java,2051,14,featurehouse,Latent semantic indexing,0.7857142857142857,0.0468964858670741,0.08851011818061169,0.27516984939575195
EmailSystem_Java,java,1233,8,featurehouse,Extended boolean,0.9092261904761905,0.3851190476190476,0.5410617109570891,0.04340100288391113
EmailSystem_Java,java,1233,8,featurehouse,Classic vector model,0.9092261904761905,0.3851190476190476,0.5410617109570891,0.023939132690429688
EmailSystem_Java,java,1233,8,featurehouse,BM25,0.9092261904761905,0.3851190476190476,0.5410617109570891,0.020592927932739258
EmailSystem_Java,java,1233,8,featurehouse,Neural networks,0.8258928571428571,0.3739010989010989,0.5147587972162934,0.04102182388305664
EmailSystem_Java,java,1233,8,featurehouse,Latent semantic indexing,0.9300595238095238,0.1620971926111317,0.27607766450378723,0.18460917472839355
Elevator_Java,java,1046,5,featurehouse,Extended boolean,0.7,0.36904761904761907,0.4832962138084633,0.01609492301940918
Elevator_Java,java,1046,5,featurehouse,Classic vector model,0.7,0.36904761904761907,0.4832962138084633,0.009072065353393555
Elevator_Java,java,1046,5,featurehouse,BM25,0.7,0.36904761904761907,0.4832962138084633,0.007561922073364258
Elevator_Java,java,1046,5,featurehouse,Neural networks,0.7,0.36904761904761907,0.4832962138084633,0.014050960540771484
Elevator_Java,java,1046,5,featurehouse,Latent semantic indexing,0.9,0.1758008658008658,0.29414510482475553,0.08176517486572266
DesktopSearcher,java,3779,15,ahead,Extended boolean,0.608974358974359,0.36666666666666675,0.45773105562855904,0.48812294006347656
DesktopSearcher,java,3779,15,ahead,Classic vector model,0.7440476190476192,0.33470125177442256,0.4617083293635248,0.23843002319335938
DesktopSearcher,java,3779,15,ahead,BM25,0.7440476190476192,0.3351613391910317,0.46214589773031306,0.2236618995666504
DesktopSearcher,java,3779,15,ahead,Neural networks,0.6726190476190476,0.3295952299048274,0.4424044530399036,0.4772038459777832
DesktopSearcher,java,3779,15,ahead,Latent semantic indexing,0.7333333333333333,0.05590712973565459,0.10389371484255236,5.049013137817383
Prevayler,java,80000,5,cide,Extended boolean,1.0,0.7672325976230899,0.8682870592756268,0.4851500988006592
Prevayler,java,80000,5,cide,Classic vector model,1.0,0.7672325976230899,0.8682870592756268,0.2392411231994629
Prevayler,java,80000,5,cide,BM25,1.0,0.7672325976230899,0.8682870592756268,0.21847295761108398
Prevayler,java,80000,5,cide,Neural networks,1.0,0.7672325976230899,0.8682870592756268,0.4588749408721924
Prevayler,java,80000,5,cide,Latent semantic indexing,1.0,0.29123594819159326,0.4510964066628972,8.027860879898071
FAME_DBMS,cpp,5000,4,cide,Extended boolean,1.0,0.3361111111111111,0.5031185031185031,0.06365394592285156
FAME_DBMS,cpp,5000,4,cide,Classic vector model,1.0,0.33611111111111114,0.5031185031185031,0.034503936767578125
FAME_DBMS,cpp,5000,4,cide,BM25,1.0,0.3361111111111111,0.5031185031185031,0.02497696876525879
FAME_DBMS,cpp,5000,4,cide,Neural networks,1.0,0.33611111111111114,0.5031185031185031,0.052134037017822266
FAME_DBMS,cpp,5000,4,cide,Latent semantic indexing,1.0,0.18888888888888888,0.3177570093457944,0.7334210872650146
