"sep=,"
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdca/tables_quantization.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdca/tables_vq.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/AsmMacros.h.xml,NCR;SCO325;SVR4;_ACK;_MINIX;__GNUC__;__ICC;__STDC__;__USLC__;__alpha__;__arm32__;__i386__;__ia64__;__powerpc__;__sparc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/cpu_flush.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/irq.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/kernelhelper/dhahelper.c.xml,CONFIG_ALPHA;CONFIG_DEVFS_FS;CONFIG_MODVERSION;CONFIG_MTRR;EXPORT_NO_SYMBOLS;LINUX_VERSION_CODE;MODULE;MODULE_LICENSE;SUN3_PAGE_NOCACHE;__KERNEL__;__i386__;__mc68000__;__powerpc__;__sparc__;__x86_64__;pgprot_noncached
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/kernelhelper/dhahelper.h.xml,DHAHELPER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/kernelhelper/test.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/libdha.c.xml,ARCH_ALPHA;DEV_MEM;PowerMAX_OS;SCO325;SVR4;_WIN32;__EMX__;i386;sun
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/libdha.h.xml,LIBDHA_H;__FreeBSD__;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/mmi.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/mtrr.c.xml,__NetBSD_Version__;__NetBSD__;__i386__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/pci.c.xml,ENOTSUP;EOPNOTSUPP;Lynx;PC98;__SUNPRO_C;__alpha__;__arm32__;__i386__;__ia64__;__powerpc__;__sparc__;__sun;__unix__;sun
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/pci_ids.h.xml,PCI_IDS_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/pci_names.h.xml,PCI_NAMES_INCLUDED;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/pci_vendors.h.xml,PCI_VENDORS_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/ports.c.xml,ARCH_ALPHA;ISC;Lynx;MACH386;SCO;SVR4;_WIN32;__386BSD__;__CYGWIN__;__EMX__;__FreeBSD_kernel__;__NetBSD__;__OpenBSD__;__SVR4;__bsdi__;linux
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/sysdep/AsmMacros_alpha.h.xml,__ASM_MACROS_ALPHA_H;__FreeBSD__;linux
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/sysdep/AsmMacros_arm32.h.xml,__ASM_MACROS_ARM32_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/sysdep/AsmMacros_generic.h.xml,__ASM_MACROS_GENERIC_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/sysdep/AsmMacros_ia64.h.xml,__ASM_MACROS_IA64_H;linux
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/libdha/sysdep/AsmMacros_powerpc.h.xml,Lynx;__ASM_MACROS_POWERPC_H;__OpenBSD__;linux
