"sep=,"
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/server-th.c.xml,CLAMAUTH;C_SOLARIS;FANOTIFY;F_GETFL;HAVE_CONFIG_H;HAVE_ENABLE_EXTENDED_FILE_STDIO;HAVE_STRERROR_R;HAVE_UNISTD_H;HAVE__INTERNAL__SHA_COLLECT;RLIMIT_NOFILE;SIGBUS;SIGHUP;SIGUSR2;_LP64;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/server.h.xml,__SERVER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/session.c.xml,HAVE_CONFIG_H;HAVE_FDPASSING;HAVE_FD_PASSING;HAVE_SYS_SELECT_H;HAVE_SYS_UIO_H;HAVE_UNISTD_H;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/session.h.xml,__SESSION_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/shared.h.xml,C_LINUX;__SHARED_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/tcpserver.c.xml,AI_ADDRCONFIG;HAVE_CONFIG_H;HAVE_GETNAMEINFO;HAVE_UNISTD_H;IPV6_V6ONLY;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/tcpserver.h.xml,__TCPSERVER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/thrmgr.c.xml,C_AIX;C_BIGSTACK;C_BSD;C_HPUX;HAVE_CONFIG_H;HAVE_MALLINFO;USE_MPOOL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamd/thrmgr.h.xml,_WIN32;__THRMGR_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamdscan/clamdscan.c.xml,HAVE_CONFIG_H;HAVE_UNISTD_H;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamdscan/client.c.xml,HAVE_CONFIG_H;HAVE_FD_PASSING;HAVE_SYS_LIMITS_H;HAVE_SYS_SELECT_H;HAVE_SYS_UIO_H;HAVE_UNISTD_H;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamdscan/client.h.xml,__CLIENT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamdscan/proto.c.xml,C_SOLARIS;HAVE_CONFIG_H;HAVE_FD_PASSING;HAVE_SYS_SELECT_H;HAVE_UNISTD_H;_WIN32;__EXTENSIONS__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamdscan/proto.h.xml,PROTO_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamdtop/clamdtop.c.xml,HAVE_CONFIG_H;HAVE_STDINT_H;_WIN32;__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamscan/clamscan.c.xml,C_BEOS;C_LINUX;HAVE_CONFIG_H;HAVE_PCRE;HAVE_UNISTD_H;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamscan/global.h.xml,__GLOBAL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamscan/manager.c.xml,C_LINUX;HAVE_CONFIG_H;HAVE_JSON;HAVE_PCRE;HAVE_PWD_H;HAVE_UNISTD_H;HAVE__INTERNAL__SHA_COLLECT;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamscan/manager.h.xml,__MANAGER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamsubmit/clamsubmit.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/ex1.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/embedpe_sample.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/ftype_sample.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/notpdf_sample.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/old/embedpe_sample.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/old/ftype_sample.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/old/notpdf_sample.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/old/onlype_sample.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/old/sandbox.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/onlype_sample.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/examples/fileprop_analysis/sandbox.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/freshclam/dns.c.xml,FRESHCLAM_DNS_FIX;HAVE_CONFIG_H;HAVE_RESOLV_H;PACKETSZ;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/freshclam/dns.h.xml,HAVE_CONFIG_H;HAVE_RESOLV_H;_WIN32;__DNS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/freshclam/execute.c.xml,HAVE_CONFIG_H;HAVE_UNISTD_H;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/freshclam/execute.h.xml,__EXECUTE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/freshclam/freshclam.c.xml,BUILD_CLAMD;C_AIX;HAVE_CONFIG_H;HAVE_GRP_H;HAVE_INITGROUPS;HAVE_PWD_H;HAVE_SETGROUPS;HAVE_UNISTD_H;SIGALRM;SIGCHLD;SIGHUP;SIGPIPE;SIGUSR1;USE_SYSLOG;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/freshclam/freshclamcodes.h.xml,__FRESHCLAMCODES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/freshclam/manager.c.xml,BUILD_CLAMD;FRESHCLAM_NO_CACHE;HAVE_CONFIG_H;HAVE_RESOLV_H;HAVE_STRINGS_H;HAVE_UNISTD_H;SO_ERROR;SUPPORT_IPv6;WIN32;_WIN32
