"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/farsi.h.xml,175,1,22,1.1666666666666667,0.408248290463863,,,,,,,,2,0,0,0,0,0,4,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/feature.h.xml,502,118,164,1.2035928143712575,0.4326845612991174,,,,,,,,168,0,0,6,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/fileio.c.xml,7658,91,4737,1.4643734643734643,0.65320998825206,,,,,,,,44,157,188,2,39,16,3,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/fold.c.xml,2382,9,2342,2.0555555555555554,0.4161761818978651,,,,,,,,6,9,4,0,1,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/getchar.c.xml,3837,37,1085,1.2515337423312884,0.6605605390168858,,,,,,,,19,49,90,0,16,2,2,6,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/glbl_ime.h.xml,24,3,13,2.4,0.8944271909999159,,,,,,,,3,2,0,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/globals.h.xml,954,105,398,1.1987577639751552,0.4446891579575214,,,,,,,,157,0,0,0,0,0,10,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui.c.xml,4074,82,1794,1.4,0.6511095621873706,,,,,,,,25,124,128,1,41,2,0,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui.h.xml,384,27,179,1.3620689655172413,0.5833441361025472,,,,,,,,30,36,0,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_at_fs.c.xml,2399,12,2281,1.9787234042553192,0.1458649914978946,,,,,,,,20,20,22,0,1,11,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_at_sb.c.xml,941,1,1,1.0,0,,,,,,,,0,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_at_sb.h.xml,73,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_athena.c.xml,1823,12,1458,1.6071428571428572,0.6516711783371464,,,,,,,,18,20,21,3,1,7,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_beval.c.xml,1008,13,928,3.0606060606060606,0.8638357026727487,,,,,,,,21,16,12,0,0,0,0,5,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_beval.h.xml,59,3,28,1.4,0.5477225575051661,,,,,,,,3,5,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_gtk.c.xml,1424,21,945,1.4242424242424243,0.5018903659106633,,,,,,,,28,9,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_gtk_f.c.xml,605,1,2,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_gtk_f.h.xml,42,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_gtk_vms.h.xml,642,1,6,1.5,0.7071067811865476,,,,,,,,3,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_gtk_x11.c.xml,4138,40,1301,1.2521739130434784,0.43616104905987385,,,,,,,,44,64,14,0,3,1,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_mac.c.xml,4469,31,2201,1.3615384615384616,0.5134447601885296,,,,,,,,33,95,29,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_motif.c.xml,3206,23,1993,1.7052631578947368,0.6502648267473916,,,,,,,,36,30,31,1,1,6,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_photon.c.xml,2338,12,925,1.1395348837209303,0.350604603563426,,,,,,,,16,21,11,0,2,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_w16.c.xml,1032,13,656,1.1578947368421053,0.36953702147663203,,,,,,,,11,18,8,2,1,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_w32.c.xml,3558,73,2546,1.4819277108433735,0.5248132893534614,,,,,,,,80,45,43,2,2,1,1,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_w32_rc.h.xml,2,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_w48.c.xml,2910,42,1118,1.37984496124031,0.5754590348367064,,,,,,,,53,56,29,4,1,2,1,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_x11.c.xml,2693,40,945,1.1779661016949152,0.42630104390872,,,,,,,,40,56,24,1,6,2,2,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_x11_pm.h.xml,74,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_xmdlg.c.xml,986,2,5,1.0,0.0,,,,,,,,2,3,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_xmebw.c.xml,1095,11,1050,2.0,0.3429971702850177,,,,,,,,6,11,9,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_xmebw.h.xml,32,7,11,1.0,0.0,,,,,,,,8,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats/gui_xmebwp.h.xml,40,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
