"sep=,"
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevabuf.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevbbox.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevbbox.h.xml,gdevbbox_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevdbit.c.xml,ARCH_INTS_ARE_SHORT;DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevdcrd.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevdcrd.h.xml,gdevdcrd_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevddrw.c.xml,DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevddrw.h.xml,gdevddrw_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevdevn.c.xml,ARCH_IS_BIG_ENDIAN;X_DPI;Y_DPI
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevdevn.h.xml,ARCH_SIZEOF_GX_COLOR_INDEX;GX_DEVICE_COLOR_MAX_COMPONENTS;gdevdevn_INCLUDED;gs_devn_params_DEFINED;gs_separations_DEFINED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/gdevdevnprn.h.xml,gdevdevnprn_INCLUDED
