projectandfeature,methodname,totaltraces,truetraces,precision,recall
sylpheed-3.5.1-yy_decl,BM25,20,1,0.05,1.0
sylpheed-3.5.1-have_locale_h,BM25,22,1,0.045454545454545456,1.0
sylpheed-3.5.1-use_gpgme,BM25,14,1,0.07142857142857142,1.0
sylpheed-3.5.1-yyoverflow,BM25,1,1,1.0,1.0
sylpheed-3.5.1-pango_enable_engine,BM25,51,1,0.0196078431372549,1.0
sylpheed-3.5.1-yyfprintf,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yyparse_param,BM25,39,1,0.02564102564102564,1.0
sylpheed-3.5.1-yytype_uint8,BM25,39,1,0.02564102564102564,1.0
sylpheed-3.5.1-yystype_is_trivial,BM25,3,1,0.3333333333333333,1.0
sylpheed-3.5.1-sparse_memory,BM25,14,1,0.07142857142857142,1.0
sylpheed-3.5.1-have_inet_aton,BM25,4,1,0.25,1.0
sylpheed-3.5.1-have_libpisock_pi_args_h,BM25,152,1,0.006578947368421052,1.0
sylpheed-3.5.1-yysize_t,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yy_extra_type,BM25,32,1,0.03125,1.0
sylpheed-3.5.1-yytype_int8,BM25,39,1,0.02564102564102564,1.0
sylpheed-3.5.1-yyenable_nls,BM25,3,1,0.3333333333333333,1.0
sylpheed-3.5.1-mime_debug,BM25,112,1,0.008928571428571428,1.0
sylpheed-3.5.1-constants,BM25,1,1,0.0,0.0
sylpheed-3.5.1-yystype_is_declared,BM25,2,1,0.5,1.0
sylpheed-3.5.1-have_sys_select_h,BM25,114,1,0.008771929824561403,1.0
sylpheed-3.5.1-use_simple_gettext,BM25,25,1,0.04,1.0
sylpheed-3.5.1-_stdlib_h,BM25,36,1,0.027777777777777776,1.0
sylpheed-3.5.1-yy_fatal_error,BM25,112,1,0.008928571428571428,1.0
sylpheed-3.5.1-int16_min,BM25,50,1,0.02,1.0
sylpheed-3.5.1-yystack_relocate,BM25,1,1,1.0,1.0
sylpheed-3.5.1-inet6,BM25,1,1,0.0,0.0
sylpheed-3.5.1-yy_location_print,BM25,141,1,0.0070921985815602835,1.0
sylpheed-3.5.1-have_alloca_h,BM25,27,1,0.037037037037037035,1.0
sylpheed-3.5.1-yy_no_input,BM25,38,1,0.02631578947368421,1.0
sylpheed-3.5.1-have_netdb_h,BM25,2,1,0.5,1.0
sylpheed-3.5.1-use_oniguruma,BM25,2,1,0.0,0.0
sylpheed-3.5.1-int8_max,BM25,88,1,0.011363636363636364,1.0
sylpheed-3.5.1-yytext_ptr,BM25,31,1,0.03225806451612903,1.0
sylpheed-3.5.1-have_lockfile_h,BM25,1,1,1.0,1.0
sylpheed-3.5.1-have_config_h,BM25,121,1,0.008264462809917356,1.0
sylpheed-3.5.1-yystack_alloc_maximum,BM25,48,1,0.020833333333333332,1.0
sylpheed-3.5.1-have_paths_h,BM25,5,1,0.2,1.0
sylpheed-3.5.1-use_enchant,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yytoken_table,BM25,98,1,0.01020408163265306,1.0
sylpheed-3.5.1-_gnu_source,BM25,101,1,0.009900990099009901,1.0
sylpheed-3.5.1-have_lockf,BM25,2,1,0.5,1.0
sylpheed-3.5.1-gpgmegtk_select_keys_h,BM25,95,1,0.010526315789473684,1.0
sylpheed-3.5.1-yy_user_init,BM25,120,1,0.008333333333333333,1.0
sylpheed-3.5.1-enable_nls,BM25,39,1,0.02564102564102564,1.0
sylpheed-3.5.1-have_getuid,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yy_user_action,BM25,99,1,0.010101010101010102,1.0
sylpheed-3.5.1-yystack_alloc,BM25,45,1,0.022222222222222223,1.0
sylpheed-3.5.1-yy_skip_yywrap,BM25,32,1,0.03125,1.0
sylpheed-3.5.1-_aix,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yyprint,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yystpcpy,BM25,1,1,1.0,1.0
sylpheed-3.5.1-use_ssl,BM25,30,1,0.03333333333333333,1.0
sylpheed-3.5.1-int32_max,BM25,56,1,0.017857142857142856,1.0
sylpheed-3.5.1-have_inet_addr,BM25,88,1,0.011363636363636364,1.0
sylpheed-3.5.1-malloc,BM25,22,1,0.045454545454545456,1.0
sylpheed-3.5.1-int32_min,BM25,51,1,0.0196078431372549,1.0
sylpheed-3.5.1-yy_need_strlen,BM25,78,1,0.01282051282051282,1.0
sylpheed-3.5.1-yy_use_const,BM25,12,1,0.08333333333333333,1.0
sylpheed-3.5.1-yy_flex_subminor_version,BM25,12,1,0.08333333333333333,1.0
sylpheed-3.5.1-have_fsync,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yy_struct_yy_buffer_state,BM25,79,1,0.012658227848101266,1.0
sylpheed-3.5.1-use_gtkspell,BM25,4,1,0.25,1.0
sylpheed-3.5.1-s_gnet_md5_h,BM25,13,1,0.07692307692307693,1.0
sylpheed-3.5.1-use_threads,BM25,25,1,0.04,1.0
sylpheed-3.5.1-yyltype_is_trivial,BM25,3,1,0.3333333333333333,1.0
sylpheed-3.5.1-have_fchmod,BM25,1,1,1.0,1.0
sylpheed-3.5.1-sizeof_unsigned_short,BM25,1,1,1.0,1.0
sylpheed-3.5.1-have_drive_letters,BM25,1,1,0.0,0.0
openvpn-2.4.3-basic_h,BM25,33,1,0.030303030303030304,1.0
openvpn-2.4.3-ssl_op_no_tlsv1_2,BM25,3,1,0.3333333333333333,1.0
openvpn-2.4.3-mtcp_h,BM25,7,1,0.14285714285714285,1.0
openvpn-2.4.3-have_direct_h,BM25,56,1,0.017857142857142856,1.0
openvpn-2.4.3-have_getsockopt,BM25,3,1,0.0,0.0
openvpn-2.4.3-have_dirname,BM25,3,1,0.3333333333333333,1.0
openvpn-2.4.3-enable_client_only,BM25,130,1,0.007692307692307693,1.0
openvpn-2.4.3-have_libgen_h,BM25,1,1,1.0,1.0
openvpn-2.4.3-have_aead_cipher_modes,BM25,33,1,0.030303030303030304,1.0
openvpn-2.4.3-fd_setsize,BM25,93,1,0.010752688172043012,1.0
openvpn-2.4.3-have_rsa_bits,BM25,50,1,0.02,1.0
openvpn-2.4.3-openssl_compat_h_,BM25,50,1,0.02,1.0
openvpn-2.4.3-enable_memstats,BM25,90,1,0.011111111111111112,1.0
openvpn-2.4.3-have_stdarg_h,BM25,11,1,0.09090909090909091,1.0
openvpn-2.4.3-argv_test,BM25,80,1,0.0125,1.0
openvpn-2.4.3-forward_inline_h,BM25,96,1,0.010416666666666666,1.0
openvpn-2.4.3-have_linux_errqueue_h,BM25,14,1,0.07142857142857142,1.0
openvpn-2.4.3-have_inet_ntop,BM25,31,1,0.03225806451612903,1.0
openvpn-2.4.3-extract_x509_field_test,BM25,97,1,0.010309278350515464,1.0
openvpn-2.4.3-have_rsa_meth_set_finish,BM25,73,1,0.0136986301369863,1.0
openvpn-2.4.3-have_evp_md_ctx_free,BM25,109,1,0.009174311926605505,1.0
openvpn-2.4.3-have_x509_get0_pubkey,BM25,26,1,0.038461538461538464,1.0
openvpn-2.4.3-pull_defined,BM25,74,1,0.013513513513513514,1.0
openvpn-2.4.3-enable_plugin,BM25,96,1,0.010416666666666666,1.0
openvpn-2.4.3-have_iovec,BM25,5,1,0.0,0.0
openvpn-2.4.3-have_ipi_spec_dst,BM25,89,1,0.011235955056179775,1.0
openvpn-2.4.3-have_gettimeofday,BM25,14,1,0.07142857142857142,1.0
openvpn-2.4.3-console_h,BM25,14,1,0.07142857142857142,1.0
openvpn-2.4.3-mroute_h,BM25,11,1,0.09090909090909091,1.0
openvpn-2.4.3-have_lzo1x_h,BM25,2,1,0.5,1.0
openvpn-2.4.3-tunnewppa,BM25,1,1,1.0,1.0
openvpn-2.4.3-_win64,BM25,2,1,0.5,1.0
openvpn-2.4.3-enable_client_cr,BM25,110,1,0.00909090909090909,1.0
openvpn-2.4.3-use_pam_dlopen,BM25,7,1,0.14285714285714285,1.0
openvpn-2.4.3-management_pf,BM25,52,1,0.019230769230769232,1.0
