"sep=,"
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTFWriter.h.xml,HTFWRITE_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTFile.c.xml,BZIP2_PATH;CHMOD_PATH;COMPRESS_PATH;COPY_PATH;CSWING_PATH;DECNET;DIRED_SUPPORT;DISABLE_FTP;DISP_PARTIAL;DOSPATH;FNAMES_8_3;GETGROUPS_T;GLOBALDEF_IS_MACRO;GZIP_PATH;HAVE_READDIR;INFLATE_PATH;INSTALL_PATH;LONG_LIST;LONG_MAX;LY_FIND_LEAKS;MKDIR_PATH;MV_PATH;NGROUPS;NGROUPS_MAX;NOT_IMPLEMENTED;NOUSERS;NO_GROUPS;NO_INIT;NO_PARENT_DIR_REFERENCE;NO_UNIX_IO;NeXT;RLOGIN_PATH;RMDIR_PATH;RM_PATH;SETFONT_PATH;STRUCT_DIRENT__D_INO;S_IFBLK;S_IFIFO;S_IFLNK;S_IFSOCK;S_ISVTX;TAR_PATH;TELNET_PATH;TN3270_PATH;TOUCH_PATH;UNCOMPRESS_PATH;UNZIP_PATH;USE_BZLIB;USE_DOS_DRIVES;USE_PRETTYSRC;USE_ZLIB;UUDECODE_PATH;VMS;ZCAT_PATH;ZIP_PATH;_MSC_VER;_S_IFIFO;_WINDOWS;__EMX__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTFile.h.xml,GLOBALREF_IS_MACRO;HAVE_CONFIG_H;HAVE_GETGROUPS;HTFILE_H;HTML_H;NOUSERS;NO_UNIX_IO;PCNFS;VMS;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTFinger.c.xml,DISABLE_FINGER;GLOBALDEF_IS_MACRO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTFinger.h.xml,GLOBALREF_IS_MACRO;HTFINGER_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTFormat.c.xml,DISP_PARTIAL;HAVE_ZERROR;LY_FIND_LEAKS;NOT_ASCII;NeXT;UNIX;USE_BZLIB;USE_SOURCE_CACHE;USE_SSL;USE_ZLIB;_WINDOWS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTFormat.h.xml,DIRED_SUPPORT;HTFORMAT_H;USE_BZLIB;USE_SOURCE_CACHE;USE_ZLIB;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTGopher.c.xml,DISABLE_FINGER;DISABLE_GOPHER;GLOBALDEF_IS_MACRO;NOT_ASCII
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTGopher.h.xml,GLOBALREF_IS_MACRO;HTGOPHER_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTGroup.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTGroup.h.xml,HTGROUP_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTInit.h.xml,HTINIT_H;HTUTILS_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTLex.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTLex.h.xml,HTLEX_H;HTUTILS_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTList.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTList.h.xml,HTLIST_H;HTUTILS_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTMIME.c.xml,EXP_HTTP_HEADERS;EXP_JAPANESEUTF8_SUPPORT;NOT_ASCII
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTMIME.h.xml,HTMIME_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTMLDTD.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTMLDTD.h.xml,HTMLDTD_H;USE_PRETTYSRC;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTMLGen.c.xml,USE_COLOR_STYLE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTMLGen.h.xml,HTMLGEN_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTNews.c.xml,DEFAULT_NEWS_HOST;DISABLE_NEWS;GLOBALDEF_IS_MACRO;LY_FIND_LEAKS;NEWS_AUTH_FILE;NEWS_DEB;NEWS_DEBUG;NEWS_SERVER_FILE;NOT_ASCII;NeXTStep;OVERLAP;SH_EX;USE_SSL;USE_XHDR;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTNews.h.xml,GLOBALREF_IS_MACRO;HTNEWS_H;USE_SSL;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTParse.c.xml,HAVE_ALLOCA;HAVE_ALLOCA_H;LY_FIND_LEAKS;USE_IDNA;__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTParse.h.xml,HTPARSE_H;HTUTILS_H;__cplusplus
