"sep=,"
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/gateway.c.xml,FEATURE_CONNECTION_KEEP_ALIVE;FEATURE_CONNECTION_SHARING;HAVE_POLL;_WIN32;__BEOS__;__GLIBC__;__OS2__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/gateway.h.xml,FEATURE_CONNECTION_KEEP_ALIVE;FEATURE_CONNECTION_SHARING;GATEWAY_H_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/jbsockets.c.xml,AI_ADDRCONFIG;AI_NUMERICSERV;AMIGA;FEATURE_ACCEPT_FILTER;FEATURE_ACL;FEATURE_CONNECTION_KEEP_ALIVE;FEATURE_EXTERNAL_FILTERS;FEATURE_PTHREAD;HAVE_GETHOSTBYADDR_R_5_ARGS;HAVE_GETHOSTBYADDR_R_7_ARGS;HAVE_GETHOSTBYADDR_R_8_ARGS;HAVE_GETHOSTBYNAME_R_3_ARGS;HAVE_GETHOSTBYNAME_R_5_ARGS;HAVE_GETHOSTBYNAME_R_6_ARGS;HAVE_POLL;HAVE_RFC2553;HAVE_SHUTDOWN;MUTEX_LOCKS_AVAILABLE;NI_MAXSERV;SHUT_WR;SO_ACCEPTFILTER;SO_LINGER;STRICT;TCP_NODELAY;_WIN32;__BEOS__;__EMX__;__GLIBC__;__OS2__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/jbsockets.h.xml,AMIGA;FEATURE_EXTERNAL_FILTERS;INADDR_NONE;JBSOCKETS_H_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/jcc.c.xml,AMIGA;FD_ZERO;FEATURE_ACL;FEATURE_CLIENT_TAGS;FEATURE_COMPRESSION;FEATURE_CONNECTION_KEEP_ALIVE;FEATURE_CONNECTION_SHARING;FEATURE_EXTENDED_HOST_PATTERNS;FEATURE_EXTERNAL_FILTERS;FEATURE_FORCE_LOAD;FEATURE_GRACEFUL_TERMINATION;FEATURE_PTHREAD;FEATURE_STATISTICS;FEATURE_TOGGLE;FEATURE_TRUST;HAVE_GETHOSTBYADDR_R;HAVE_GETHOSTBYNAME_R;HAVE_GMTIME_R;HAVE_LOCALTIME_R;HAVE_RANDOM;MUTEX_LOCKS_AVAILABLE;SELECTED_ONE_OPTION;STRICT;_CYGWIN;_WIN32;_WIN_CONSOLE;__BEOS__;__CYGWIN__;__EMX__;__MINGW32__;__OS2__;__amigaos4__;sun;unix
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/jcc.h.xml,FEATURE_CLIENT_TAGS;FEATURE_EXTERNAL_FILTERS;FEATURE_GRACEFUL_TERMINATION;FEATURE_PTHREAD;FEATURE_STATISTICS;HAVE_GETHOSTBYADDR_R;HAVE_GETHOSTBYNAME_R;HAVE_GMTIME_R;HAVE_LOCALTIME_R;HAVE_RANDOM;JCC_H_INCLUDED;_WIN32;__MINGW32__;unix
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/list.c.xml,_WIN32;__OS2__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/list.h.xml,LIST_H_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/loadcfg.c.xml,FEATURE_ACL;FEATURE_CGI_EDIT_ACTIONS;FEATURE_CLIENT_TAGS;FEATURE_COMPRESSION;FEATURE_CONNECTION_KEEP_ALIVE;FEATURE_CONNECTION_SHARING;FEATURE_EXTERNAL_FILTERS;FEATURE_FORCE_LOAD;FEATURE_GRACEFUL_TERMINATION;FEATURE_TOGGLE;FEATURE_TRUST;HAVE_RFC2553;STRICT;_WIN32;_WIN_CONSOLE;__OS2__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/loadcfg.h.xml,FEATURE_GRACEFUL_TERMINATION;FEATURE_TOGGLE;LOADCFG_H_INCLUDED
