"sep=,"
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/cmds.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/coding.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/coding.h.xml,CYGWIN;EMACS_CODING_H;WINDOWSNT;emacs
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/commands.h.xml,EMACS_COMMANDS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/composite.c.xml,HAVE_WINDOW_SYSTEM
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/composite.h.xml,EMACS_COMPOSITE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/conf_post.h.xml,ADDRESS_SANITIZER;BROKEN_GET_CURRENT_DIR_NAME;CYGWIN;DARWIN_OS;DebPrint;EMACSDEBUG;HAVE_ALLOCA;HAVE_GET_CURRENT_DIR_NAME;HAVE_NS;HAVE_NTGUI;HAVE_X_WINDOWS;HPUX;HYBRID_MALLOC;INLINE;IRIX6_5;MSDOS;NS_IMPL_GNUSTEP;WINDOWSNT;__DJGPP_MINOR__;__DJGPP__;__GNUC_MINOR__;__GNUC_PATCHLEVEL__;__GNUC__;__IBMC__;__SANITIZE_ADDRESS__;__clang_major__;__clang_minor__;__has_attribute;__has_feature;config_opsysfile;emacs;lint;noinline;strnicmp
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/cygw32.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/cygw32.h.xml,CYGW32_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/data.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/dbusbind.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/decompress.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/dired.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/dispextern.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/dispnew.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/disptab.h.xml,EMACS_DISPTAB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/doc.c.xml,CANNOT_DUMP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/doprnt.c.xml,HAVE_MODULES;HAVE_X_WINDOWS;USE_X_TOOLKIT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/dosfns.h.xml,HAVE_X_WINDOWS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/dynlib.c.xml,GET_MODULE_HANDLE_EX_FLAG_FROM_ADDRESS;GET_MODULE_HANDLE_EX_FLAG_UNCHANGED_REFCOUNT;HAVE_DLADDR;HAVE_DLFUNC;HAVE_UNISTD_H;WINDOWSNT;false
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/dynlib.h.xml,DYNLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/emacs-icon.h.xml,HAVE_XPM;HAVE_X_WINDOWS;USE_GTK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/emacs-module.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/emacs-module.h.xml,EMACS_MODULE_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/emacs.c.xml,CYGWIN;DARWIN_OS;GNU_LINUX;HAVE_NS;HAVE_NTGUI;HAVE_PERSONALITY_LINUX32;HAVE_SETLOCALE;HAVE_SETRLIMIT;HAVE_WCHAR_H;HAVE_WINDOW_SYSTEM;HAVE_X_WINDOWS;MSDOS;NS_IMPL_COCOA;PROFILING;WINDOWSNT;__FreeBSD__;__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/emacsgtkfixed.c.xml,HAVE_XWIDGETS;__GNUC_MINOR__;__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/emacsgtkfixed.h.xml,EMACSGTKFIXED_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/eval.c.xml,HAVE_WINDOW_SYSTEM
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/fileio.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/filelock.c.xml,BOOT_TIME;BOOT_TIME_FILE;CANNOT_DUMP;CTL_KERN;ELOOP;HAVE_PWD_H;HAVE_UTMP_H;KERN_BOOTTIME;MSDOS;WINDOWSNT;WTMP_FILE;__FreeBSD__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/firstfile.c.xml,WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/floatfns.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/fns.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/font.c.xml,ENABLE_CHECKING;HAVE_FREETYPE;HAVE_NS;HAVE_WINDOW_SYSTEM;HAVE_XFT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/font.h.xml,EMACS_FONT_H;ENABLE_CHECKING;FONT_DEBUG;HAVE_BDFFONT;HAVE_FREETYPE;HAVE_NS;HAVE_NTGUI;HAVE_WINDOW_SYSTEM;HAVE_XFT;HAVE_X_WINDOWS;MSDOS;USE_CAIRO;false
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/fontset.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/fontset.h.xml,EMACS_FONTSET_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/frame.c.xml,HAVE_NS;HAVE_WINDOW_SYSTEM;MSDOS;USE_GTK;USE_X_TOOLKIT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/fringe.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/ftcrfont.c.xml,HAVE_LIBOTF
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/ftfont.c.xml,FC_CAPABILITY;FC_DUAL;FC_FONTFORMAT;FT_LOAD_TARGET_MONO;HAVE_LIBOTF;HAVE_M17N_FLT;HAVE_OTF_GET_VARIATION_GLYPHS;LIBOTF_MAJOR_VERSION;LIBOTF_RELEASE_NUMBER;M17NLIB_MAJOR_VERSION;M17NLIB_MINOR_VERSION;M17N_FLT_USE_NEW_FEATURE;OTF_POSITIONING_TYPE_GET_FORMAT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/ftfont.h.xml,EMACS_FTFONT_H;FT_BDF_H;HAVE_LIBOTF;HAVE_M17N_FLT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/ftxfont.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/getpagesize.h.xml,CLSIZE;EXEC_PAGESIZE;HAVE_GETPAGESIZE;HAVE_SYS_PARAM_H;NBPG;PAGESIZE;_SC_PAGESIZE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/gfilenotify.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/gmalloc.c.xml,CYGWIN;GC_MALLOC_CHECK;GC_MCHECK;GC_PROTECT_MALLOC_STATE;HAVE_PTHREAD;HYBRID_GET_CURRENT_DIR_NAME;HYBRID_MALLOC;MSDOS;USE_PTHREAD;__cplusplus;emacs
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/gnutls.c.xml,GNUTLS_VERSION_MAJOR;GNUTLS_VERSION_MINOR;GNUTLS_VERSION_NUMBER;GNUTLS_VERSION_PATCH;HAVE_GNUTLS;HAVE_GNUTLS3;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/gnutls.h.xml,EMACS_GNUTLS_DEFINED;HAVE_GNUTLS;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/gtkutil.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/gtkutil.h.xml,GTKUTIL_H;USE_CAIRO;USE_GTK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/image.c.xml,COLOR_TABLE_SUPPORT;HAVE_NS;HAVE_NTGUI;HAVE_PNG;HAVE_SYS_STAT_H;HAVE_SYS_TYPES_H;HAVE_WINDOW_SYSTEM;HAVE_X_WINDOWS;USE_CAIRO;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/indent.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/indent.h.xml,EMACS_INDENT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/inotify.c.xml,HAVE_INOTIFY;IN_DONT_FOLLOW;IN_EXCL_UNLINK;IN_ONLYDIR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/insdel.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/intervals.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/intervals.h.xml,EMACS_INTERVALS_H;false
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/keyboard.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/keyboard.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/keymap.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/keymap.h.xml,KEYMAP_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/kqueue.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/lastfile.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/lisp.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/lread.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/macfont.h.xml,MAC_OS_X_VERSION_MAX_ALLOWED;USE_CT_GLYPH_INFO;kCTVersionNumber10_9
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/macros.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/macros.h.xml,EMACS_MACROS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/macuvs.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/marker.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/menu.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/menu.h.xml,HAVE_NS;HAVE_NTGUI;HAVE_X_WINDOWS;MENU_H;MSDOS;USE_GTK;USE_X_TOOLKIT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/minibuf.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/msdos.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/msdos.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/nsgui.h.xml,NS_IMPL_COCOA;Z;__LP64__;__NSGUI_H__;__OBJC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/nsterm.h.xml,GNUSTEP_GUI_MAJOR_VERSION;GNUSTEP_GUI_MINOR_VERSION;HAVE_NATIVE_FS;HAVE_NS;MAC_OS_X_VERSION_10_6;MAC_OS_X_VERSION_10_7;MAC_OS_X_VERSION_10_8;MAC_OS_X_VERSION_10_9;MAC_OS_X_VERSION_MAX_ALLOWED;NSTRACE_ALL_GROUPS;NSTRACE_ENABLED;NSTRACE_FSTYPE;NSTRACE_GROUP_COLOR;NSTRACE_GROUP_EVENTS;NSTRACE_GROUP_FOCUS;NSTRACE_GROUP_FRINGE;NSTRACE_GROUP_GLYPHS;NSTRACE_GROUP_UPDATES;NSTRACE_MSG;NSTRACE_POINT;NSTRACE_RECT;NSTRACE_RETURN_FSTYPE;NSTRACE_RETURN_POINT;NSTRACE_RETURN_RECT;NSTRACE_RETURN_SIZE;NSTRACE_SIZE;NSTRACE_UNSILENCE;NSTRACE_WHEN;NS_IMPL_COCOA;NS_IMPL_GNUSTEP;__OBJC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/print.c.xml,WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/process.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/process.h.xml,EMACS_PROCESS_H;HAVE_GNUTLS;HAVE_SYS_TYPES_H;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/profiler.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/puresize.h.xml,BASE_PURESIZE;DEFINE_KEY_OPS_AS_MACROS;EMACS_INT_MAX;EMACS_PURESIZE_H;ENABLE_CHECKING;PTRDIFF_MAX;PURESIZE;PURESIZE_RATIO;SITELOAD_PURESIZE_EXTRA;SYSTEM_PURESIZE_EXTRA
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/ralloc.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/regex.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/region-cache.c.xml,
