"sep=,"
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/cherokee_show.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/collector.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/collector.h.xml,CHEROKEE_COLLECTOR_H;CHEROKEE_COMPILATION;CHEROKEE_INSIDE_CHEROKEE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/collector_rrd.c.xml,HAVE_SYS_WAIT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/collector_rrd.h.xml,CHEROKEE_COLLECTOR_RRD_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/common-internal.h.xml,BIG_ENDIAN;BYTE_ORDER;CHEROKEE_COMMON_INTERNAL_H;HAVE_DLFCN_H;HAVE_ENDIAN_H;HAVE_FCNTL_H;HAVE_INLINE;HAVE_INTTYPES_H;HAVE_MACHINE_ENDIAN_H;HAVE_PTHREAD;HAVE_SCHED_H;HAVE_SCHED_YIELD;HAVE_STDINT_H;HAVE_STRCASESTR;HAVE_STRSEP;HAVE_SYS_ENDIAN_H;HAVE_SYS_FCNTL_H;HAVE_SYS_ISA_DEFS_H;HAVE_SYS_MACHINE_H;HAVE_SYS_VARARGS;INT_MAX;LITTLE_ENDIAN;LONG_MAX;NORETURN;O_BINARY;O_LARGEFILE;O_NOFOLLOW;PDP_ENDIAN;SEM_A;SEM_R;SIZEOF_INT;SIZEOF_LONG;SIZEOF_TIME_T;S_ISLNK;TIME_MAX;WORDS_BIGENDIAN;__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/common.h.xml,CHEROKEE_COMMON_H;CHEROKEE_COMPILATION;CHEROKEE_INSIDE_CHEROKEE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/config_entry.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/config_entry.h.xml,CHEROKEE_COMPILATION;CHEROKEE_CONFIG_ENTRY_H;CHEROKEE_INSIDE_CHEROKEE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/config_node.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/config_node.h.xml,CHEROKEE_COMPILATION;CHEROKEE_CONFIG_NODE_H;CHEROKEE_INSIDE_CHEROKEE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/config_reader.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/config_reader.h.xml,CHEROKEE_COMPILATION;CHEROKEE_CONFIG_READER_H;CHEROKEE_INSIDE_CHEROKEE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/connection-protected.h.xml,CHEROKEE_CONNECTION_PROTECTED_H;HAVE_ARPA_INET_H;HAVE_NETINET_IN_H;HAVE_SYS_SOCKET_H;HAVE_SYS_TIME_H;HAVE_SYS_TYPES_H;HAVE_SYS_UIO_H
