project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
Chat_HyperJ,java,758,3,hyperj,Extended boolean,1.0,0.28454106280193237,0.4430236931177134,0.4652698040008545
Chat_HyperJ,java,758,3,hyperj,Latent semantic indexing,1.0,0.1126984126984127,0.20256776034236804,1.86263108253479
EmailSystem_Java,java,1233,8,featurehouse,Classic vector model,0.9092261904761905,0.3851190476190476,0.5410617109570891,0.15330219268798828
EmailSystem_Java,java,1233,8,featurehouse,BM25,0.9092261904761905,0.3851190476190476,0.5410617109570891,0.061971426010131836
EmailSystem_Java,java,1233,8,featurehouse,Neural networks,0.8258928571428571,0.37470238095238095,0.515517653516538,0.6853835582733154
EmailSystem_Java,java,1233,8,featurehouse,Extended boolean,0.9092261904761905,0.3851190476190476,0.5410617109570891,0.7876012325286865
EmailSystem_Java,java,1233,8,featurehouse,Latent semantic indexing,0.9300595238095238,0.12585513132856652,0.22170875826536138,2.195777416229248
NetBot,cs,1579,4,featurehouse,Classic vector model,1.0,0.5083333333333333,0.6740331491712707,0.13968539237976074
NetBot,cs,1579,4,featurehouse,BM25,1.0,0.571969696969697,0.727710843373494,0.1583538055419922
NetBot,cs,1579,4,featurehouse,Extended boolean,1.0,0.7083333333333333,0.8292682926829268,0.3387331962585449
NetBot,cs,1579,4,featurehouse,Neural networks,1.0,0.7083333333333333,0.8292682926829268,0.5043370723724365
NetBot,cs,1579,4,featurehouse,Latent semantic indexing,1.0,0.25840336134453784,0.41068447412353926,1.1315205097198486
Email_JML,java,1233,8,featurehouse,Classic vector model,0.875,0.3222222222222222,0.4709976798143852,0.04577207565307617
Email_JML,java,1233,8,featurehouse,BM25,0.875,0.3222222222222222,0.4709976798143852,0.10859274864196777
Email_JML,java,1233,8,featurehouse,Extended boolean,0.875,0.3222222222222222,0.4709976798143852,0.38245081901550293
Email_JML,java,1233,8,featurehouse,Neural networks,0.6875,0.2916666666666667,0.4095744680851064,0.5151407718658447
Email_JML,java,1233,8,featurehouse,Latent semantic indexing,0.875,0.10911172161172161,0.19402828827990506,0.7053356170654297
Mobile_Media,java,5700,23,cide,Classic vector model,0.8140749601275916,0.27143016461888775,0.407118299862754,3.256743907928467
Mobile_Media,java,5700,23,cide,BM25,0.8188596491228071,0.27209899211284255,0.4084680697992914,3.365234613418579
Mobile_Media,java,5700,23,cide,Extended boolean,0.7582912457912457,0.2992947273649028,0.42918982935257727,24.410725355148315
Mobile_Media,java,5700,23,cide,Neural networks,0.7267543859649123,0.2631780433505625,0.38642192462962927,24.724966526031494
Mobile_Media,java,5700,23,cide,Latent semantic indexing,0.9935064935064936,0.09753641707130081,0.17763382681690687,147.6802535057068
DesktopSearcher,java,3779,15,ahead,Classic vector model,0.7440476190476192,0.3347012517744225,0.46170832936352474,2.875436544418335
DesktopSearcher,java,3779,15,ahead,BM25,0.7440476190476192,0.33485686957709915,0.46185637219504216,2.8536484241485596
DesktopSearcher,java,3779,15,ahead,Neural networks,0.7083333333333334,0.3337508716223616,0.45371931802617393,13.181600332260132
DesktopSearcher,java,3779,15,ahead,Extended boolean,0.6474358974358976,0.35759849906191377,0.4607247393097244,13.274819612503052
DesktopSearcher,java,3779,15,ahead,Latent semantic indexing,0.7944444444444444,0.09499825455900619,0.16970364847759303,35.53812313079834
Prop4J,java,2051,14,featurehouse,Classic vector model,0.9090909090909091,0.2182804940157881,0.352034497584014,0.12624406814575195
Prop4J,java,2051,14,featurehouse,BM25,0.9090909090909091,0.21987179487179487,0.35410106849739326,0.6428918838500977
Prop4J,java,2051,14,featurehouse,Neural networks,0.9090909090909091,0.2182804940157881,0.352034497584014,3.290358781814575
Prop4J,java,2051,14,featurehouse,Extended boolean,0.9,0.2446428571428571,0.38471138845553815,5.47768759727478
Prop4J,java,2051,14,featurehouse,Latent semantic indexing,0.7857142857142857,0.05034092891235748,0.09461955696366303,11.473477602005005
Prevayler,java,80000,5,cide,Classic vector model,1.0,0.7672325976230899,0.8682870592756268,3.845916509628296
Prevayler,java,80000,5,cide,BM25,1.0,0.7672325976230899,0.8682870592756268,5.64382266998291
Prevayler,java,80000,5,cide,Neural networks,1.0,0.7672325976230899,0.8682870592756268,11.188570261001587
Prevayler,java,80000,5,cide,Extended boolean,1.0,0.7672325976230899,0.8682870592756268,12.224285364151001
Prevayler,java,80000,5,cide,Latent semantic indexing,1.0,0.2952015066181211,0.4558387325983226,36.303906202316284
Lampiro,java,45000,17,cide,Classic vector model,0.9230769230769231,0.1829588487197183,0.3053881175136991,191.08283591270447
Lampiro,java,45000,17,cide,BM25,0.9230769230769231,0.18371667201275282,0.3064430822003878,191.78788375854492
Lampiro,java,45000,17,cide,Neural networks,0.9230769230769231,0.1829588487197183,0.3053881175136991,342.9391679763794
Lampiro,java,45000,17,cide,Extended boolean,0.8888888888888888,0.24601257572272064,0.3853688657661563,360.1310546398163
Lampiro,java,45000,17,cide,Latent semantic indexing,0.9411764705882353,0.030516159855756255,0.05911559011376602,463.77495861053467
Mobile_RSS_Reader,java,20000,27,cide,BM25,0.7635940170940171,0.4639615639659157,0.5772093416740524,114.11020874977112
Mobile_RSS_Reader,java,20000,27,cide,Classic vector model,0.740517094017094,0.45230803457920177,0.5615941906947078,114.5180766582489
Mobile_RSS_Reader,java,20000,27,cide,Neural networks,0.7454835807467387,0.49251341549908345,0.593152755080123,202.00053572654724
Mobile_RSS_Reader,java,20000,27,cide,Extended boolean,0.7800617283950618,0.4616080218929118,0.5799976222587339,206.55964159965515
Mobile_RSS_Reader,java,20000,27,cide,Latent semantic indexing,0.955650522317189,0.0887933446865815,0.1624891655909651,367.7525837421417
Graph_Product_Line,java,1350,26,featurehouse,Classic vector model,0.6856060606060607,0.19982964944611625,0.30946214884639894,1.4227442741394043
Graph_Product_Line,java,1350,26,featurehouse,BM25,0.6553030303030304,0.20345886842922417,0.3105103130926516,1.7051117420196533
Graph_Product_Line,java,1350,26,featurehouse,Neural networks,0.6325757575757577,0.20918455923803514,0.31440085352092667,12.796670198440552
Graph_Product_Line,java,1350,26,featurehouse,Extended boolean,0.47348484848484845,0.2216408284590103,0.30194129655045515,35.64366292953491
Graph_Product_Line,java,1350,26,featurehouse,Latent semantic indexing,0.6442307692307693,0.03301262517738705,0.06280681092782317,76.8703031539917
